Id,OwnerId,Name,Effective_From__c,Loan_Number__c,Loan_Id_Ext__c,Tal_migrated__c
a0EFf0000005pRlMAI,005Ff000001F2fFIAS,a0EFf0000005pRl,2018-08-06,a00Ff000003X6QdIAK,HOU/DEL/0223/01152,YES
a0EFf0000005pRmMAI,005Ff000001F2fFIAS,a0EFf0000005pRm,2018-03-31,a00Ff000003X7DEIA0,HOU/DEL/0223/03063,YES
a0EFf0000005pRnMAI,005Ff000001F2fFIAS,a0EFf0000005pRn,2019-01-02,a00Ff000003X6w4IAC,HOU/DEL/0223/02299,YES
a0EFf0000005pRoMAI,005Ff000001F2fFIAS,a0EFf0000005pRo,2019-01-02,a00Ff000003QSVyIAO,HOU/DEL/0223/00269,YES
a0EFf0000005pRpMAI,005Ff000001F2fFIAS,a0EFf0000005pRp,2019-01-02,a00Ff000003X75vIAC,HOU/DEL/0223/03109,YES
a0EFf0000005pRqMAI,005Ff000001F2fFIAS,a0EFf0000005pRq,2019-01-02,a00Ff000003X75wIAC,HOU/DEL/0223/03110,YES
a0EFf0000005pRrMAI,005Ff000001F2fFIAS,a0EFf0000005pRr,2019-01-02,a00Ff000003X6uiIAC,HOU/DEL/0223/02215,YES
a0EFf0000005pRsMAI,005Ff000001F2fFIAS,a0EFf0000005pRs,2019-01-02,a00Ff000003X6QnIAK,HOU/DEL/0223/01162,YES
a0EFf0000005pRtMAI,005Ff000001F2fFIAS,a0EFf0000005pRt,2019-01-02,a00Ff000003X6SyIAK,HOU/DEL/0223/01297,YES
a0EFf0000005pRuMAI,005Ff000001F2fFIAS,a0EFf0000005pRu,2019-01-02,a00Ff000003X6uDIAS,HOU/DEL/0223/02184,YES
a0EFf0000005pRvMAI,005Ff000001F2fFIAS,a0EFf0000005pRv,2019-01-02,a00Ff000003X6uKIAS,HOU/DEL/0223/02191,YES
a0EFf0000005pRwMAI,005Ff000001F2fFIAS,a0EFf0000005pRw,2019-01-02,a00Ff000003X6uNIAS,HOU/DEL/0223/02194,YES
a0EFf0000005pRxMAI,005Ff000001F2fFIAS,a0EFf0000005pRx,2019-01-02,a00Ff000003X76jIAC,HOU/DEL/0223/03159,YES
a0EFf0000005pRyMAI,005Ff000001F2fFIAS,a0EFf0000005pRy,2019-01-02,a00Ff000003X76oIAC,HOU/DEL/0223/03164,YES
a0EFf0000005pRzMAI,005Ff000001F2fFIAS,a0EFf0000005pRz,2019-01-02,a00Ff000003X76mIAC,HOU/DEL/0223/03162,YES
a0EFf0000005pS0MAI,005Ff000001F2fFIAS,a0EFf0000005pS0,2019-01-02,a00Ff000003X771IAC,HOU/DEL/0223/03177,YES
a0EFf0000005pS1MAI,005Ff000001F2fFIAS,a0EFf0000005pS1,2019-01-02,a00Ff000003X79LIAS,HOU/DEL/0223/02822,YES
a0EFf0000005pS2MAI,005Ff000001F2fFIAS,a0EFf0000005pS2,2019-01-02,a00Ff000003X7ChIAK,HOU/DEL/0223/03030,YES
a0EFf0000005pS3MAI,005Ff000001F2fFIAS,a0EFf0000005pS3,2019-01-02,a00Ff000003X6SZIA0,HOU/DEL/0223/01272,YES
